Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,PRESSLOVAL*28 cpr riv 80 mg,SO.SE.PHARM Srl,041168067,FPB,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41168/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TOWA PHARMACEUTICAL SpA,041849098,FPB,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41849/stampati?ts=RCP
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392023,FPB,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/42392/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALPRESSION*28 cps 160 mg,A.MENARINI IND.FARM.RIUN.Srl,033119025,FPC,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/33119/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 160 mg,NOVARTIS FARMA SpA,033178942,FPC,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/33178/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 160 mg,SANDOZ SpA,034776878,FPC,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34776/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,LABORATORI ALTER Srl,039810066,FPC,2753,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2753/farmaci/39810/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,DOC GENERICI Srl,039815271,FPC,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/39815/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cps 160 mg,MYLAN SpA,040225068,FPC,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/40225/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,SANDOZ SpA,040318077,FPC,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40318/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,ZENTIVA ITALIA Srl,040723126,FPC,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/40723/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,EG SpA,040782120,FPC,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40782/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,ALMUS Srl,041076100,FPC,2812,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2812/farmaci/41076/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,HCS BVBA,041104151,FPC,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41104/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,ALSARTIR*28 cpr riv div 160 mg,EG SpA,041129204,FPC,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/41129/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,PRESSLOVAL*28 cpr riv 160 mg,SO.SE.PHARM Srl,041168105,FPC,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41168/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,TOWA PHARMACEUTICAL SpA,041849151,FPC,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41849/stampati?ts=RCP
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392035,FPC,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/42392/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALPRESSION*28 cpr riv 320 mg,A.MENARINI IND.FARM.RIUN.Srl,033119292,FPD,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/33119/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 320 mg,NOVARTIS FARMA SpA,033178359,FPD,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/33178/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 320 mg,SANDOZ SpA,034776296,FPD,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34776/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,LABORATORI ALTER Srl,039810092,FPD,2753,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2753/farmaci/39810/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,DOC GENERICI Srl,039815372,FPD,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/39815/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,SANDOZ SpA,040318115,FPD,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40318/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,ZENTIVA ITALIA Srl,040723189,FPD,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/40723/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,EG SpA,040782219,FPD,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40782/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,HCS BVBA,041104237,FPD,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41104/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,MYLAN SpA,041442361,FPD,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/41442/stampati?ts=RCP
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392047,FPD,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/42392/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 80 mg + 12,5 mg",NOVARTIS FARMA SpA,034114025,FQA,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/34114/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 80 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134027,FQA,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/34134/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 80 mg + 12,5 mg",SANDOZ SpA,034774024,FQA,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34774/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",TEVA ITALIA Srl,040259069,FQA,813,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/813/farmaci/40259/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",EG SpA,040589032,FQA,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40589/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALBACOMP*28 cpr riv 80 mg + 12,5 mg",EG SpA,040757039,FQA,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40757/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",SANDOZ SpA,040920023,FQA,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40920/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",HCS BVBA,041012028,FQA,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41012/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",DOC GENERICI Srl,041105014,FQA,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/41105/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",MYLAN SpA,041255011,FQA,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/41255/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALIDROC*28 cpr riv 80 mg + 12,5 mg",SO.SE.PHARM Srl,041293034,FQA,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41293/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",ZENTIVA ITALIA Srl,041492036,FQA,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/41492/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",AUROBINDO PHARMA ITALIA Srl,042278010,FQA,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/42278/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 160 mg + 12,5 mg",NOVARTIS FARMA SpA,034114076,FQB,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/34114/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 160 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134041,FQB,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/34134/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 160 mg + 12,5 mg",SANDOZ SpA,034774048,FQB,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34774/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TEVA ITALIA Srl,040240044,FQB,813,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/813/farmaci/40240/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",EG SpA,040589119,FQB,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40589/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALBACOMP*28 cpr riv 160 mg + 12,5 mg",EG SpA,040757116,FQB,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40757/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",SANDOZ SpA,040920074,FQB,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40920/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",HCS BVBA,041012143,FQB,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41012/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",DOC GENERICI Srl,041105026,FQB,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/41105/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",MYLAN SpA,041255023,FQB,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/41255/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALIDROC*28 cpr riv 160 mg + 12,5 mg",SO.SE.PHARM Srl,041293111,FQB,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41293/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TECNIMEDE SOC.TECNICO-MED.S.A.,041944024,FQB,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/41944/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TOWA PHARMACEUTICAL SpA,041967023,FQB,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41967/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",ALMUS Srl,042208177,FQB,2812,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2812/farmaci/42208/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",AUROBINDO PHARMA ITALIA Srl,042278022,FQB,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/42278/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",ZENTIVA ITALIA Srl,042636050,FQB,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/42636/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,COTAREG*28 cpr riv 160 mg + 25 mg,NOVARTIS FARMA SpA,034114140,FQC,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/34114/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,COMBISARTAN*28 cpr riv 160 mg + 25 mg,A.MENARINI IND.FARM.RIUN.Srl,034134116,FQC,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/34134/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,CORIXIL*28 cpr riv 160 mg + 25 mg,SANDOZ SpA,034774113,FQC,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34774/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TEVA ITALIA Srl,040259259,FQC,813,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/813/farmaci/40259/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,EG SpA,040589196,FQC,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40589/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALBACOMP*28 cpr riv 160 mg + 25 mg,EG SpA,040757193,FQC,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40757/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,SANDOZ SpA,040920100,FQC,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/40920/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,HCS BVBA,041012269,FQC,3377,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3377/farmaci/41012/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,DOC GENERICI Srl,041105038,FQC,898,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/898/farmaci/41105/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,MYLAN SpA,041255035,FQC,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/41255/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALIDROC*28 cpr riv 160 mg + 25 mg,SO.SE.PHARM Srl,041293198,FQC,8007,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8007/farmaci/41293/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,ZENTIVA ITALIA Srl,041492137,FQC,8043,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8043/farmaci/41492/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,041944036,FQC,3241,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3241/farmaci/41944/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TOWA PHARMACEUTICAL SpA,041967035,FQC,3018,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3018/farmaci/41967/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,ALMUS Srl,042208316,FQC,2812,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2812/farmaci/42208/stampati?ts=RCP
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,AUROBINDO PHARMA ITALIA Srl,042278034,FQC,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/42278/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 320 mg + 12,5 mg",NOVARTIS FARMA SpA,034114215,FQD,114,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/114/farmaci/34114/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 320 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134181,FQD,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/34134/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 320 mg + 12,5 mg",SANDOZ SpA,034774188,FQD,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/34774/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",EG SpA,040589273,FQD,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/40589/stampati?ts=RCP
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",TEVA PHARMA B.V.,040709026,FQD,907,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/907/farmaci/40709/stampati?ts=RCP
